,first_name,last_name,on_tour,bestsellers,spotlight,image
0,Dave,Eggers,False,True,"DAVE EGGERS is the author of twelve books, including&#160;<i>The Monk of Mokha; The Circle; Heroes of the Frontier; A Hologram for the King,&#160;</i>a finalist for the National Book Award; and&#160;<i>What Is the What,&#160;</i>a finalist for the National Book Critics Circle Award and winner of France's Prix M&eacute;dicis Etranger. He is the founder of McSweeney's and the cofounder of 826 Valencia, a youth writing center that has inspired similar programs around the world, and of ScholarMatch, which connects donors with students to make college accessible. He is the winner of the Dayton Literary Peace Prize and is the cofounder of Voice of Witness, a book series that illuminates human rights crises through oral history. He is a member of the American Academy of Arts and Letters. His work has been translated into forty-two languages.&#160;<br><br>Internationalcongressofyouthvoices.org<br>826national.org<br>scholarmatch.org<br>voiceofwitness.org<br>valentinoachakdeng.org<br>mcsweeneys.net<br>daveeggers.net",https://images.randomhouse.com/author/7857
1,Brenda,Woods,False,True,"<b>Brenda Woods</b> was born in Ohio, grew up in Southern California, and attended California State University, Northridge. Her award-winning books for young readers include&#160;<i>The Blossoming Universe of Violet Diamond</i>&#160;(a CCBC choice and a&#160;<i>Kirkus Reviews</i>&#160;Best Book); the Coretta Scott King Honor winner&#160;<i>The Red Rose Box</i>;&#160;the ALAN Pick&#160;<i>Saint Louis Armstrong Beach</i>;&#160;and&#160;<i>VOYA</i>&#160;Top Shelf Fiction selection&#160;<i>Emako Blue</i>. Woods&rsquo;s numerous awards and honors include the Judy Lopez Memorial Book Award, the FOCAL International Award, and the ILA Children&rsquo;s Choice Young Adult Fiction Award. She lives in the Los Angeles area. To learn more, visit brendawoods.net.",https://images.randomhouse.com/author/229299
2,Stephanie,Tromly,False,True,"Stephanie Tromly was born in Manila, grew up in Hong Kong, graduated from the University of Pennsylvania, and worked as a screenwriter in Los Angeles. She is currently on leave from her PhD program in English Literature at the University of Toronto and lives in Winnipeg with her husband and young son. Stephanie is the author of the Trouble Is a Friend of Mine trilogy.",https://images.randomhouse.com/author/244992
3,Paul,Rusesabagina,False,True,"<b>Paul Rusesabagina</b> was the first Rwandan manager of the Hotel Milles Collines, a European-owned luxury hotel in Rwanda. A recipient of the National Civil Rights Museum&rsquo;s 2005 Freedom Award, he lives in Brussels, Belgium.",https://images.randomhouse.com/author/70840
4,Kim Stanley,Robinson,False,True,"<p><b>Kim Stanley Robinson</b> is a winner of the Hugo, Nebula, and Locus awards. He is the author of more than twenty books, including the bestselling Mars trilogy and the critically acclaimed <i>Forty Signs of Rain, Fifty Degrees Below, Sixty Days and Counting, The Years of Rice and Salt, </i>and <i>Galileo&rsquo;s Dream</i>. In 2008 he was named one of <i>Time </i>magazine&rsquo;s &ldquo;Heroes of the Environment.&rdquo; He serves on the board of the Sierra Nevada Research Institute. He lives in Davis, California.</p>",https://images.randomhouse.com/author/25839
5,Christopher Paul,Curtis,False,True,"<b>Christopher&nbsp;Paul&nbsp;Curtis</b> is&nbsp;the author of&nbsp;<i>The Watsons Go to Birmingham&mdash;1963,</i>&nbsp;one of the most highly acclaimed first novels for young readers in recent years. It was singled out for many awards, among them a Newbery Honor and a Coretta Scott King Honor, and has been a bestseller in hardcover and paperback. Christopher grew up in Flint, Michigan. After high school he began working on the assembly line at the Fisher Body Flint Plant No. 1 while attending the Flint branch of the University of Michigan. He is now a full-time writer. He lives with his family in Detroit.",https://images.randomhouse.com/author/6203
6,Maya,Jasanoff,False,True,"<b>Maya Jasanoff</b>&#160;is the Coolidge Professor of History at Harvard. She is the author of the prize-winning&#160;<i>Edge of Empire: Lives, Culture, and Conquest in the East</i>,<i>&#160;1750-1850</i>&#160;(2005) and&#160;<i>Liberty's Exiles: American Loyalists in the Revolutionary World</i>&#160;(2011), which received the National Book Critics Circle Award for Non-Fiction and the George Washington Book Prize. A 2013 Guggenheim Fellow, Jasanoff won the 2017 Windham-Campbell Prize for Non-Fiction. Her essays and reviews appear frequently in publications including&#160;<i>The New York Times</i>,&#160;<i>The Guardian</i>, and&#160;<i>The New York Review of Books</i>.",https://images.randomhouse.com/author/57711
7,John,Pollack,False,True,"<b>John Pollack</b> is a speechwriter at the White House and on Capitol Hill. Prior to this, he worked as a foreign correspondent, at a history museum, and as a strolling violinist. In 1995, Pollack won the eighteenth annual O. Henry Pun-Off World Championships. A native of Ann Arbor, Michigan, he lives in New York City.",https://images.randomhouse.com/author/59811
8,Ami,McKay,False,True,"AMI MCKAY&rsquo;s debut novel, <i>The Birth House</i> was a # 1 bestseller in Canada, winner of three CBA Libris Awards, nominated for the International IMPAC Dublin Literary Award, and a book club favourite around the world. While writing her new novel, <i>The Witches of New York</i>, she discovered several women in her family tree who were accused and tried for witchcraft. Born and raised in Indiana, Ami now lives in Nova Scotia.",https://images.randomhouse.com/author/67746
9,Jane,Smiley,False,True,"JANE SMILEY is the author of numerous novels, including&#160;<i>A Thousand Acres,</i>&#160;which was awarded the Pulitzer Prize, and most recently, The Last Hundred Years Trilogy:&#160;<i>Some Luck, Early Warning,</i>&#160;and&#160;<i>Golden Age.</i>&#160;She is also the author of several works of nonfiction and books for young adults. A member of the American Academy of Arts and Letters, she has also received the PEN Center USA Lifetime Achievement Award for Literature. She lives in Northern California.",https://images.randomhouse.com/author/28760
10,Sally,Lloyd-Jones,False,True,"<b>A NOTE FROM THE AUTHOR<br></b>I wrote <i>How to Be a Baby by Me the Big Sister</i> as a kind of revenge on my three little sisters . . . not really. But since I&#8217;m the oldest, I obviously <i>am</i> the expert here&#8211;I mean, after all, I saw them when they were babies but did they see me? And I actually held them and fed them bottles of milk, and had to look after them, and hear all their baby squawkings&#8211;but where were they when I was a baby? Exactly. Anyway, so I know things.<br><br>What I don&#8217;t know, though, is how to write an Author Spotlight. So time for some . . .<br><br><b>TRIVIA <br>Name: </b>Sally Lloyd-Jones<br><b>What sort of name is that</b>? Mine (I&#8217;m half Welsh)<br><b>Age: </b>None of your business<br><b>Birthday: </b>Four hours off April Fools&#8217;<br><b>Place of birth:</b> Kampala, Uganda, where my father had gone to take a job<br><b>School:</b> A boarding school called Manor House in the New Forest (except it&#8217;s not new at all, of course, it&#8217;s quite ancient)<br><b>College: </b>Sussex University<br><b>Major: </b>Art History with French<br><b>Languages:</b> English, bad French, and once upon a time Swahili<b> <br>Place of residence: </b>Manhattan<b><br>Other places lived:</b> London, Oxford, Paris, Singapore, Sierra Leone, Kenya<br><b>Reason for coming to the U.S.:</b> For an adventure, just for a year<br><b>When you came:</b> Eighteen years ago<br><b>Favorite color: </b>Orange (except when it&#8217;s robin&#8217;s egg blue)<br><b>Favorite book: </b><i>Winnie the Pooh</i><br><b>Favorite movie: </b><i>Chariots of Fire</i><br><b>Favorite food: </b>Porridge (oatmeal with a nicer name)<br><b>Other favorite food</b>: Proper puddings (stodgy British variety, not the American pudding, which, as far as I can tell, is just custard masquerading)<br><b>Do you only like foods beginning with P?</b> Don&#8217;t be silly, I detest prunes<br><b>Horridest food ever invented</b>: Brussels sprouts<br><b>Horridest thing ever invented:</b> Spelling tests and times tables<br><b>First book ever read:</b> <i>The Complete Nonsense</i> by Edward Lear<br><b>Last book read:</b> <i>Tamar</i> by Mal Peet <br><b>Current book being read:</b> <i>The Magic Pudding</i> by Norman Lindsay<br><b>What is it with puddings?</b> I don&#8217;t know. I&#8217;m a Brit. I can&#8217;t help it. <br><b>Best story ever:</b> You can&#8217;t top the Bible<br><b>Best nonfiction ever</b>: Ditto<br><b>First part-time job:</b> Factory worker at Arco-Lectric Plugs, East Molesey<br><b>First temp job:</b> Typist at customer complaints dept. of large grocery store chain (People would write in complaining of slipping on a grape in Aisle 4 and cracking their hip open, and we&#8217;d send them &#163;10 for their trouble)<br><b>First temp job fired from:</b> Typist at customer complaints dept. of large grocery store chain<br><b>Duration:</b> One day<br><b>Reason fired:</b> For doing word-breaks (they didn&#8217;t believe in them)<br><b>First job:</b> Editorial assistant, Oxford University Press<br><b>Current job:</b> To tell stories<br><b>Favorite job:</b> Ditto. You mostly get in trouble for this when you&#8217;re little, of course, but when you&#8217;re a grown-up you can get away with it&#8211;sometimes even get paid to do it.<br><b>Silliest job:</b> Going to schools in my pajamas saying goodnight to lots of children in the middle of the day (when I&#8217;m reading <i>Time to Say Goodnight</i>) or carrying 16 handbags with potatoes, old shoes, bits of half-eaten spaghetti in them (when I&#8217;m reading <i>Handbag Friends</i>).  The poor children are very kind and humor me.<br><b>Favorite saying:</b> Bob&#8217;s your uncle (Brit for: there you have it)<br><b>Some favorite words:</b> Whirligig, caboodle, spiffy, fizzy<br><b>Words you&#8217;re scared of:</b> Revenues, spreadsheets, execute, in perpetuity, cross-check<br><b>Favorite places: </b>Nantucket, Cornwall, France, by a wood fire, snowy woods<br><b>Some favorite things:</b> My nieces and nephews, sample sales, running, snow-shoeing, movies<br><b>Where do you find your ideas?</b> I don&#8217;t. They find me. I just try to be someone &quot;on whom nothing is lost.&quot; (Henry James)<br><b>Biggest challenge</b>: To . . . &quot;Sail away from the safe harbor. Explore. Dream. Discover.&quot; (Mark Twain)<br><b>Greatest joy:</b> Ditto<br><b>Goal:</b> &quot;To live all I can.&quot; (Henry James)<br><b>Good quote: </b>&quot;Be kind for everyone you know is fighting a great battle.&quot; (Philo&#8211;not a pastry&#8211;of Alexandria)<br><b>Best advice:</b> When in doubt, if all else fails, put on the kettle and make a nice cup of tea",https://images.randomhouse.com/author/62272
11,Laura,Pedersen,False,True,"<b>Laura Pedersen</b> is an author and playwright from Buffalo, New York. After finishing high school in 1983, she moved to Manhattan and began working on the American Stock Exchange, later spending&#160;the better part of the 1990s writing for <i>The New York Times</i>.&#160;In 1994, President Clinton honored her as one of Ten Outstanding Young Americans. She has appeared on varioius&#160;TV shows, including <i>Oprah</i>, <i>Good Morning America, Primetime Live,</i>&#160;and<i>&#160;The Late Show with David Letterman</i>. In 2001, her first novel, <i>Going Away Party</i>, won the Three Oaks Prize for fiction. Her other books include <i>Beginner's Luck, The Big Shuffle</i>, <i>Heart's Desire,&#160;</i>and <i>Last Call</i>. Laura lives in New York City.",https://images.randomhouse.com/author/23522
