,name,genres,year,page_count,purchase_link,price,avg_rating,num_ratings,maturity_rating,language,description,image,authors,,,,,
0,The Kill Order,{'JUVENILE FICTION'},2014-01-07,329,,,3,46,NOT_MATURE,en,"Traces the fateful period after the Earth is decimated by catastrophic solar flares and reveals the stories behind the formation of WICKED, the construction of the Glade, and Thomas' entry into the Maze.",http://books.google.com/books/content?id=hRfTCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'James Dashner'},,,,,
1,"The Maze Runner Movie Tie-In Edition (Maze Runner, Book One)",{'Young Adult Fiction'},2014-08-05,416,,,4,4,NOT_MATURE,en,"The first book in the blockbuster phenomenon The Maze Runner series now features chapters from the highly-anticipated series conclusion, The Fever Code, the book that finally reveals the story of how the maze was built! This special movie tie-in edition includes an eight-page full-color insert with photos from the film. The Maze Runner and Maze Runner: The Scorch Trials are now major motion pictures featuring the star of MTV's Teen Wolf, Dylan O’Brien; Kaya Scodelario; Aml Ameen; Will Poulter; and Thomas Brodie-Sangster. The third movie, Maze Runner: The Death Cure, will hit screens in 2018. When Thomas wakes up in the lift, the only thing he can remember is his name. He’s surrounded by strangers—boys whose memories are also gone. Outside the towering stone walls that surround them is a limitless, ever-changing maze. It’s the only way out—and no one’s ever made it through alive. Then a girl arrives. The first girl ever. And the message she delivers is terrifying: Remember. Survive. Run. Also look for James Dashner’s edge-of-your-seat MORTALITY DOCTRINE series! Praise for the Maze Runner series: A #1 New York Times Bestselling Series A USA Today Bestseller A Kirkus Reviews Best Teen Book of the Year An ALA-YASLA Best Fiction for Young Adults Book An ALA-YALSA Quick Pick ""{A} mysterious survival saga that passionate fans describe as a fusion of Lord of the Flies, The Hunger Games, and Lost.""—EW “Wonderful action writing—fast-paced…but smart and well observed.”—Newsday “{A} nail-biting must-read.”—Seventeen “Breathless, cinematic action.”—Publishers Weekly “Heart pounding to the very last moment.”—Kirkus Reviews “Exclamation-worthy.”—Romantic Times “James Dashner’s illuminating prequel {The Kill Order} will thrill fans of this Maze Runner {series} and prove just as exciting for readers new to the series.”—Shelf Awareness, Starred ""Take a deep breath before you start any James Dashner book.""-Deseret News",http://books.google.com/books/content?id=jcJWAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'James Dashner'},,,,,
2,The Death Cure,{'Juvenile Fiction'},2013,325,,,3.5,116,NOT_MATURE,en,"As the third Trial draws to a close, Thomas and some of his cohorts manage to escape from WICKED, their memories having been restored, only to face new dangers as WICKED claims to be trying to protect the human race from the deadly FLARE virus.",http://books.google.com/books/content?id=nXAlPwr75zIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'James Dashner'},,,,,
3,The Maze Runner Collection,,2015-09-01,,,,,,NOT_MATURE,en,"The Maze Runner Collection Box Set - all four Maze Runner titles, including the prequel, The Kill Order.",http://books.google.com/books/content?id=zz3asgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,{'James Dashner'},,,,,
4,Maze Runner 3: The Death Cure,{'Juvenile Fiction'},2013-12-05,336,,,5,3,NOT_MATURE,en,"The Trials are over. WICKED have collected all the information they can. Now it's up to the Gladers to complete the blueprint for the cure to the Flare with a final voluntary test. But something has happened that no-one at WICKED has foreseen: Thomas has remembered more than they think. And he knows WICKED can't be trusted ... The time for lies is over. But the truth is more dangerous than anyone could have imagined. With the Gladers divided, can they all make it?",http://books.google.com/books/content?id=XY9GBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'James Dashner'},,,,,
5,Europe Central,{'Fiction'},2005,811,,,4,9,NOT_MATURE,en,"A series of interconnected stories seeks to contrast the moral decisions made by famous and everyday individuals with regard to the warring authoritarian cultures of Germany and the USSR in the twentieth century, from a pair of generals who collaborate with the enemy to two heroes who place themselves at risk for their countries. Reprint.",http://books.google.com/books/content?id=Pu0kDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
6,Last Stories and Other Stories,{'Fiction'},2015-07-21,704,,,4,1,NOT_MATURE,en,"This collection of connected ghost stories from the author of Europe Central includes tales about a farmer's deceased wife who returns, a geisha who becomes a cherry tree and a man who romances the ghost of his high school girlfriend.",http://books.google.com/books/content?id=91gBDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
7,Imperial,{'History'},2009-07-30,1200,https://play.google.com/store/books/details?id=cTtQnoLDyogC&rdid=book-cTtQnoLDyogC&rdot=1&source=gbs_api,20.99,4,3,NOT_MATURE,en,"From the author of Europe Central, winner of the National Book Award, a journalistic tour de force along the Mexican-American border – a finalist for the National Book Critics Circle Award For generations of migrant workers, Imperial Country has held the promise of paradise and the reality of hell. It sprawls across a stirring accidental sea, across the deserts, date groves and labor camps of Southeastern California, right across the border into Mexico. In this eye-opening book, William T. Vollmann takes us deep into the heart of this haunted region, exploring polluted rivers and guarded factories and talking with everyone from Mexican migrant workers to border patrolmen. Teeming with patterns, facts, stories, people and hope, this is an epic study of an emblematic region.",http://books.google.com/books/content?id=cTtQnoLDyogC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
8,The Book of Dolores,{'Photography'},2013,197,,,,,NOT_MATURE,en,"William T. Vollmann has set out on what is perceived as impossible for a heterosexual genetic male: to envision himself as a woman. In these photographs, block prints and watercolour drawings, Vollmann portrays his alter ego, Dolores, with whimsicality and sometimes with cruelty. The Book of Dolores brings the genre of self-portraits to a new level of vulnerability and bravery. In the process, it offers virtuoso performances of photographic techniques, including the seductively difficult gum bichromate method. Each section of the book features an essay.",http://books.google.com/books/content?id=3bJvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,{'William T. Vollmann'},,,,,
9,The Atlas,{'Fiction'},1997-06-01,496,https://play.google.com/store/books/details?id=DnKfGHZ3RWQC&rdid=book-DnKfGHZ3RWQC&rdot=1&source=gbs_api,12.99,3.5,4,NOT_MATURE,en,"Winner of the PEN Center USA West Award for Fiction – a collection of fifty-three interconnected stories by the National Book Award-winning author of Europe Central Hailed by Newsday as ""the most unconventional--and possibly the most exciting and imaginative--novelist at work today,"" William T. Vollmann has also established himself as an intrepid journalist willing to go to the hottest spots on the planet. Here he draws on these formidable talents to create a web of fifty-three interconnected tales, what he calls ""a piecemeal atlas of the world I think in."" Set in locales from Phnom Penh to Sarajevo, Mogadishu to New York, and provocatively combining autobiography with invention, fantasy with reportage, these stories examine poverty, violence, and loss even as they celebrate the beauty of landscape, the thrill of the alien, the infinitely precious pain of love. The Atlas brings to life a fascinating array of human beings: an old Inuit walrus-hunter, urban aborigines in Sydney, a crack-addicted prostitute, and even Vollmann himself.",http://books.google.com/books/content?id=DnKfGHZ3RWQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
10,Carbon Ideologies,{'Atmospheric carbon dioxide'},2018,,,,,,NOT_MATURE,en,"""No Immediate Danger, the first volume of Carbon Ideologies, {begins} by examining and quantifying the many causes of climate change, from industrial manufacturing and agricultural practices to fossil fuel extraction, economic demand for electric power, and the justifiable yearning of people all over the world to live in comfort. Turning to nuclear power first, Vollmann then recounts multiple visits that he made at significant personal risk over the course of seven years to the contaminated no-go zones and sad ghost towns of Fukushima, Japan, beginning shortly after the tsunami and reactor meltdowns of 2011. Equipped first only with a dosimeter and then with a scintillation counter, he measured radiation and interviewed tsunami victims, nuclear evacuees, anti-nuclear organizers and pro-nuclear utility workers.""--",,{'William T. Vollmann'},,,,,
11,The Rifles,{'Fiction'},1995,432,,,4.5,4,NOT_MATURE,en,"The latest installment of Vollmann's seven-part epic chronicling the clash of Europeans and Native Americans in the New World. Volume six focuses on the white explorers of the mid-1800s, desperately dreaming of forging a Northwest passage.",http://books.google.com/books/content?id=ONnZJgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,{'William T. Vollmann'},,,,,
12,The Dying Grass,{'Fiction'},2016-07-26,1376,,,4,2,NOT_MATURE,en,"In this new installment in his acclaimed series of novels examining the collisions between Native Americans and European colonizers, William T. Vollmann tells the story of the Nez Perce War, with flashbacks to the Civil War. Defrauded and intimidated at every turn, the Nez Perces finally went on the warpath in 1877, subjecting the U.S. Army to its greatest defeat since Little Big Horn as they fled from northeast Oregon across Montana to the Canadian border. Vollmann's main character is not the legendary Chief Joseph, but his pursuer, General Oliver Otis Howard, the brave, shy, tormented, devoutly Christian Civil War veteran. In this novel, we see him as commander, father, son, husband, friend, and killer.",http://books.google.com/books/content?id=-9nQDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
13,You Bright and Risen Angels,{'Fiction'},1988,635,,,3,1,NOT_MATURE,en,"This comic and surreal novel about the beastliness and pain in the world focuses on the stories of assorted young American misfits, reactionaries and revolutionaries, young lovers, and raging old tyrants",http://books.google.com/books/content?id=d0buAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,{'William T. Vollmann'},,,,,
14,Butterfly Stories,{'Fiction'},1993,279,,,4,5,NOT_MATURE,en,"Butterfly Stories follows a dizzying cradle-to-grave hunt for love that takes the narrator from the comfortable confines of suburban America to the killing fields of Cambodia, where he falls in love with Vanna, a prostitute from Phnom Penh. Here, Vollmann's gritty style perfectly serves his examination of sex, violence, and corruption.",http://books.google.com/books/content?id=PRniYHNGo54C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'William T. Vollmann'},,,,,
