,kind,id,etag,selfLink,volumeInfo,saleInfo,accessInfo,searchInfo
0,books#volume,v1VrzQEACAAJ,DeLpAHp8yXI,https://www.googleapis.com/books/v1/volumes/v1VrzQEACAAJ,"{'title': ""Raymond's Story"", 'subtitle': 'The Questionable Decisions of Raymond B(Only) Reneau', 'authors': ['Raymond Reneau'], 'publishedDate': '2020-03-09', 'description': 'What some may consider a cautionary tale, Dr. Raymond Reneau shares the questionable and sometimes misguided decisions he has made throughout his long and exciting life. Growing up during the depression era in a small farm in Kentucky, Dr. Reneau used the (many) lessons he learned as a child to pursue a life of education, travel, and commitment to family. Now, for the first time ever in print, you can read captivating stories straight from the source, such as Mom Learns to Drive, A Pencil in the Neck, My Brothers Almost Drown, and Be Quiet While I Fish. Be entertained, and maybe learn a lesson or two yourself, while joining Dr. Reneau on this exciting trip from boyhood to fatherhood and beyond.', 'industryIdentifiers': [{'type': 'ISBN_10', 'identifier': '1677849703'}, {'type': 'ISBN_13', 'identifier': '9781677849703'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 184, 'printType': 'BOOK', 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': 'preview-1.0.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=v1VrzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=v1VrzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=v1VrzQEACAAJ&dq=%2Binauthor:Paul+McEvoy&hl=&cd=1&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=v1VrzQEACAAJ&dq=%2Binauthor:Paul+McEvoy&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/Raymond_s_Story.html?hl=&id=v1VrzQEACAAJ'}","{'country': 'US', 'saleability': 'NOT_FOR_SALE', 'isEbook': False}","{'country': 'US', 'viewability': 'NO_PAGES', 'embeddable': False, 'publicDomain': False, 'textToSpeechPermission': 'ALLOWED', 'epub': {'isAvailable': False}, 'pdf': {'isAvailable': False}, 'webReaderLink': 'http://play.google.com/books/reader?id=v1VrzQEACAAJ&hl=&printsec=frontcover&source=gbs_api', 'accessViewStatus': 'NONE', 'quoteSharingAllowed': False}","{'textSnippet': 'What some may consider a cautionary tale, Dr. Raymond Reneau shares the questionable and sometimes misguided decisions he has made throughout his long and exciting life.'}"
1,books#volume,Xkg3AAAAIAAJ,rtWA7BLyGmA,https://www.googleapis.com/books/v1/volumes/Xkg3AAAAIAAJ,"{'title': ""Ed Wynn's Son"", 'authors': ['Keenan Wynn', 'James Brough'], 'publishedDate': '1959', 'description': '""This is the story of my father, Ed Wynn and myself and the troubles that grew between us."" -- page [7].', 'industryIdentifiers': [{'type': 'OTHER', 'identifier': 'UCAL:B3571207'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 236, 'printType': 'BOOK', 'categories': ['Actors'], 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': '0.3.2.0.preview.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=Xkg3AAAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=Xkg3AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=Xkg3AAAAIAAJ&q=%2Binauthor:Paul+McEvoy&dq=%2Binauthor:Paul+McEvoy&hl=&cd=2&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=Xkg3AAAAIAAJ&dq=%2Binauthor:Paul+McEvoy&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/Ed_Wynn_s_Son.html?hl=&id=Xkg3AAAAIAAJ'}","{'country': 'US', 'saleability': 'NOT_FOR_SALE', 'isEbook': False}","{'country': 'US', 'viewability': 'NO_PAGES', 'embeddable': False, 'publicDomain': False, 'textToSpeechPermission': 'ALLOWED', 'epub': {'isAvailable': False}, 'pdf': {'isAvailable': False}, 'webReaderLink': 'http://play.google.com/books/reader?id=Xkg3AAAAIAAJ&hl=&printsec=frontcover&source=gbs_api', 'accessViewStatus': 'NONE', 'quoteSharingAllowed': False}","{'textSnippet': '&quot;This is the story of my father, Ed Wynn and myself and the troubles that grew between us.&quot; -- page [7].'}"
2,books#volume,Zn3wAAAAMAAJ,+3QeNUT8fko,https://www.googleapis.com/books/v1/volumes/Zn3wAAAAMAAJ,"{'title': 'Plant Membrane Biology', 'authors': ['Phytochemical Society of Europe'], 'publisher': 'Oxford University Press on Demand', 'publishedDate': '1996', 'description': 'The plant cell contains a number of well-defined membranes and membrane systems. The plasma membrane forms the barrier between the cytoplasm and the cell exterior, and as such it regulates the exchange of nutrients, acts as the receptor for environmental signals, and helps protect the cellagainst pathogen attack. This book contains twenty-three chapters by leading researchers on the structure, biogenesis, transport mechanisms, signal transduction, and enzymology of plant cell membranes, providing insight into new and recent developments in the field.', 'industryIdentifiers': [{'type': 'OTHER', 'identifier': 'UOM:39015037800284'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 294, 'printType': 'BOOK', 'categories': ['Plant cell membranes'], 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': '0.0.1.0.preview.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=Zn3wAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=Zn3wAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=Zn3wAAAAMAAJ&q=%2Binauthor:Paul+McEvoy&dq=%2Binauthor:Paul+McEvoy&hl=&cd=3&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=Zn3wAAAAMAAJ&dq=%2Binauthor:Paul+McEvoy&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/Plant_Membrane_Biology.html?hl=&id=Zn3wAAAAMAAJ'}","{'country': 'US', 'saleability': 'NOT_FOR_SALE', 'isEbook': False}","{'country': 'US', 'viewability': 'NO_PAGES', 'embeddable': False, 'publicDomain': False, 'textToSpeechPermission': 'ALLOWED', 'epub': {'isAvailable': False}, 'pdf': {'isAvailable': False}, 'webReaderLink': 'http://play.google.com/books/reader?id=Zn3wAAAAMAAJ&hl=&printsec=frontcover&source=gbs_api', 'accessViewStatus': 'NONE', 'quoteSharingAllowed': False}","{'textSnippet': 'This book contains twenty-three chapters by leading researchers on the structure, biogenesis, transport mechanisms, signal transduction, and enzymology of plant cell membranes, providing insight into new and recent developments in the field ...'}"
3,books#volume,B8JY2zSr1HEC,8SjlkLggxvM,https://www.googleapis.com/books/v1/volumes/B8JY2zSr1HEC,"{'title': 'Society and Culture', 'subtitle': 'Scarcity and Solidarity', 'authors': ['Bryan S Turner', 'Chris Rojek'], 'publisher': 'SAGE', 'publishedDate': '2001-04-11', 'description': ""Society and Culture reclaims the classical heritage, provides a clear-eyed assessment of the promise of sociology in the 21st century and asks whether the `cultural turn' has made the study of society redundant. Sociologists have objected to the rise of cultural studies on the grounds that it produces cultural relativism and lacks a stable research agenda. This book looks at these criticisms and illustrates the relevance of a sociological perspective in the analysis of human practice. The book argues that the classical tradition must be treated as a living tradition, rather than a period piece. It analyzes the fundamental principles of belonging and conflict in society and provides a detailed critical survey of the principal social theories that offer solutions to the challenges of modernism."", 'industryIdentifiers': [{'type': 'ISBN_13', 'identifier': '9781412933681'}, {'type': 'ISBN_10', 'identifier': '1412933684'}], 'readingModes': {'text': False, 'image': True}, 'pageCount': 272, 'printType': 'BOOK', 'categories': ['Social Science'], 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': '1.2.0.0.preview.1', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=B8JY2zSr1HEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=B8JY2zSr1HEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=B8JY2zSr1HEC&printsec=frontcover&dq=%2Binauthor:Paul+McEvoy&hl=&cd=4&source=gbs_api', 'infoLink': 'https://play.google.com/store/books/details?id=B8JY2zSr1HEC&source=gbs_api', 'canonicalVolumeLink': 'https://play.google.com/store/books/details?id=B8JY2zSr1HEC'}","{'country': 'US', 'saleability': 'FOR_SALE_AND_RENTAL', 'isEbook': True, 'listPrice': {'amount': 18, 'currencyCode': 'USD'}, 'retailPrice': {'amount': 18, 'currencyCode': 'USD'}, 'buyLink': 'https://play.google.com/store/books/details?id=B8JY2zSr1HEC&rdid=book-B8JY2zSr1HEC&rdot=1&source=gbs_api', 'offers': [{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 18000000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 18000000, 'currencyCode': 'USD'}, 'giftable': True}, {'finskyOfferType': 3, 'listPrice': {'amountInMicros': 8100000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 7780000, 'currencyCode': 'USD'}, 'rentalDuration': {'unit': 'DAY', 'count': 90}}]}","{'country': 'US', 'viewability': 'PARTIAL', 'embeddable': True, 'publicDomain': False, 'textToSpeechPermission': 'ALLOWED', 'epub': {'isAvailable': False}, 'pdf': {'isAvailable': True, 'acsTokenLink': 'http://books.google.com/books/download/Society_and_Culture-sample-pdf.acsm?id=B8JY2zSr1HEC&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api'}, 'webReaderLink': 'http://play.google.com/books/reader?id=B8JY2zSr1HEC&hl=&printsec=frontcover&source=gbs_api', 'accessViewStatus': 'SAMPLE', 'quoteSharingAllowed': False}",{'textSnippet': 'This book looks at these criticisms and illustrates the relevance of a sociological perspective in the analysis of human practice.'}
4,books#volume,x4GKAgAAQBAJ,Ft9AuQgl6og,https://www.googleapis.com/books/v1/volumes/x4GKAgAAQBAJ,"{'title': 'The Lucifer Principle', 'subtitle': 'A Scientific Expedition into the Forces of History', 'authors': ['Howard Bloom'], 'publisher': 'Open Road + Grove/Atlantic', 'publishedDate': '2013-11-01', 'description': 'The Lucifer Priciple is a revolutionary work that explores the intricate relationships among genetics, human behavior, and culture to put forth the thesis that “evil” is a by-product of nature’s strategies for creation and that it is woven into our most basic biological fabric. In a sweeping narrative that moves lucidly among sophisticated scientific disciplines and covers the entire span of the earth’s, as well as mankind’s, history, Howard Bloom challenges some of our most popular scientific assumptions. Drawing on evidence from studies of the most primitive organisms to those on ants, apes, and humankind, the author makes a persuasive case that it is the group, or “superorganism,” rather than the lone individual that really matters in the evolutionary struggle. But, Bloom asserts, the prominence of society and culture does not necessarily mitigate against our most violent, aggressive instincts. In fact, under the right circumstances the mentality of the group will only amplify our most primitive and deadly urges. In Bloom’s most daring contention he draws an analogy between the biological material whose primordial multiplication began life on earth and the ideas, or “memes,” that define, give cohesion to, and justify human superorganisms. Some of the most familiar memes are utopian in nature—Christianity or Marxism; nonetheless, these are fueled by the biological impulse to climb to the top of the heirarchy. With the meme’s insatiable hunger to enlarge itself, we have a precise prescription for war. Biology is not destiny; but human culture is not always the buffer to our most primitive instincts we would like to think it is. In these complex threads of thought lies the Lucifer Principle, and only through understanding its mandates will we able to avoid the nuclear crusades that await us in the twenty-first century.', 'industryIdentifiers': [{'type': 'ISBN_13', 'identifier': '9780802192189'}, {'type': 'ISBN_10', 'identifier': '0802192181'}], 'readingModes': {'text': True, 'image': True}, 'pageCount': 466, 'printType': 'BOOK', 'categories': ['Philosophy'], 'averageRating': 3, 'ratingsCount': 10, 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': True, 'contentVersion': '1.8.7.0.preview.3', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=x4GKAgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=x4GKAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=x4GKAgAAQBAJ&printsec=frontcover&dq=%2Binauthor:Paul+McEvoy&hl=&cd=5&source=gbs_api', 'infoLink': 'https://play.google.com/store/books/details?id=x4GKAgAAQBAJ&source=gbs_api', 'canonicalVolumeLink': 'https://play.google.com/store/books/details?id=x4GKAgAAQBAJ'}","{'country': 'US', 'saleability': 'FOR_SALE', 'isEbook': True, 'listPrice': {'amount': 15.99, 'currencyCode': 'USD'}, 'retailPrice': {'amount': 15.99, 'currencyCode': 'USD'}, 'buyLink': 'https://play.google.com/store/books/details?id=x4GKAgAAQBAJ&rdid=book-x4GKAgAAQBAJ&rdot=1&source=gbs_api', 'offers': [{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 15990000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 15990000, 'currencyCode': 'USD'}, 'giftable': True}]}","{'country': 'US', 'viewability': 'PARTIAL', 'embeddable': True, 'publicDomain': False, 'textToSpeechPermission': 'ALLOWED', 'epub': {'isAvailable': True, 'acsTokenLink': 'http://books.google.com/books/download/The_Lucifer_Principle-sample-epub.acsm?id=x4GKAgAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api'}, 'pdf': {'isAvailable': True, 'acsTokenLink': 'http://books.google.com/books/download/The_Lucifer_Principle-sample-pdf.acsm?id=x4GKAgAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api'}, 'webReaderLink': 'http://play.google.com/books/reader?id=x4GKAgAAQBAJ&hl=&printsec=frontcover&source=gbs_api', 'accessViewStatus': 'SAMPLE', 'quoteSharingAllowed': False}",{'textSnippet': '“A philosophical look at the history of our species which alternated between fascinating and frightening . . . like reading Dean Koontz or Stephen King.” —Rocky Mountain News The Lucifer Principle is a revolutionary work that explores ...'}
5,books#volume,aRzb5WvioxsC,HNU3Dn8rxNA,https://www.googleapis.com/books/v1/volumes/aRzb5WvioxsC,"{'title': 'The Genius of the Beast', 'subtitle': 'A Radical Re-Vision of Capitalism', 'authors': ['Howard Bloom'], 'publisher': 'Prometheus Books', 'publishedDate': '2010-05-01', 'description': 'Is global capitalism on its last legs? Is the era of American leadership over? Has the West begun a decline into a new Dark Age? Does American civilization deserve to survive? These are the unnerving questions raised by the Great Crash of 2009. This book presents a radically new answer, insisting that global society has only begun to realize its full potential. Author Howard Bloom argues that there’s a hidden mandate beneath the surface of capitalism: ""It’s struggling to whisper and rumble its message to you and me. That hidden imperative can lift us from economic crisis, can make us a leader in the next-generation economy, and can dramatically upgrade our ability to empower our fellow human beings."" Bloom sees crisis as opportunity, opportunity for the whole human race. In more than eighty short, fast chapters, insights appear suddenly, like the quick bursts of flashbulbs, taking the reader on a sweeping tour of human history, from the Stone Age to the present. Every chapter conveys a radically new way to see the astonishing mechanism we call ""Western Civilization."" Bloom marvels at how humans have turned toxic waste into food and fuel, trash into treasure, and garbage into gold. He shows how we\'ve produced material miracles based on immaterial things—passion, persistence, and fantasy. He shows that what many regard as the end is just the beginning. The beginning of something you\'ve never before imagined. The author explains why the secret to capitalism’s next great leap does not lie in new financial tricks, but in tapping things right under our noses in radically new ways—that is, tapping our imagination, our desire to feel useful, our desire to help others, and our desire to be recognized for contributing to the welfare of humanity. The key to next-generation capitalism lies in a big-picture view that\'s utterly unlike anything you\'ve previously perceived. A big-picture view that will startle you. A big-picture view with which you can ignite the world, get a new handle on your life, and help transform society. This brilliant, inspirational work of daring ideas and breathtaking research offers more than hope. It offers unseen levels of understanding. Understanding that can literally redefine what it means to be a human being.', 'industryIdentifiers': [{'type': 'ISBN_13', 'identifier': '9781615929320'}, {'type': 'ISBN_10', 'identifier': '1615929320'}], 'readingModes': {'text': True, 'image': False}, 'pageCount': 607, 'printType': 'BOOK', 'categories': ['Business & Economics'], 'averageRating': 5, 'ratingsCount': 1, 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': True, 'contentVersion': '0.10.12.0.preview.2', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=aRzb5WvioxsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=aRzb5WvioxsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=aRzb5WvioxsC&printsec=frontcover&dq=%2Binauthor:Paul+McEvoy&hl=&cd=6&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=aRzb5WvioxsC&dq=%2Binauthor:Paul+McEvoy&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/The_Genius_of_the_Beast.html?hl=&id=aRzb5WvioxsC'}","{'country': 'US', 'saleability': 'NOT_FOR_SALE', 'isEbook': False}","{'country': 'US', 'viewability': 'PARTIAL', 'embeddable': True, 'publicDomain': False, 'textToSpeechPermission': 'ALLOWED', 'epub': {'isAvailable': True, 'acsTokenLink': 'http://books.google.com/books/download/The_Genius_of_the_Beast-sample-epub.acsm?id=aRzb5WvioxsC&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api'}, 'pdf': {'isAvailable': False}, 'webReaderLink': 'http://play.google.com/books/reader?id=aRzb5WvioxsC&hl=&printsec=frontcover&source=gbs_api', 'accessViewStatus': 'SAMPLE', 'quoteSharingAllowed': False}","{'textSnippet': 'Does American civilization deserve to survive? These are the unnerving questions raised by the Great Crash of 2009. This book presents a radically new answer, insisting that global society has only begun to realize its full potential.'}"
6,books#volume,V_IgAQAAIAAJ,pvFRRU0LG24,https://www.googleapis.com/books/v1/volumes/V_IgAQAAIAAJ,"{'title': 'Global Brain', 'subtitle': 'The Evolution of Mass Mind from the Big Bang to the 21st Century', 'authors': ['Howard Bloom'], 'publisher': 'John Wiley & Sons Incorporated', 'publishedDate': '2000-08-14', 'description': 'Introduces the controversial theory of ""group selection"" in which all life on earth is portrayed as a macro-community of symbiotic organisms working together for the benefit of all. By the author of The Lucifer Principle.', 'industryIdentifiers': [{'type': 'OTHER', 'identifier': 'STANFORD:36105028649734'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 370, 'printType': 'BOOK', 'categories': ['Science'], 'averageRating': 4, 'ratingsCount': 3, 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': '1.1.1.0.preview.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=V_IgAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=V_IgAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=V_IgAQAAIAAJ&q=%2Binauthor:Paul+McEvoy&dq=%2Binauthor:Paul+McEvoy&hl=&cd=7&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=V_IgAQAAIAAJ&dq=%2Binauthor:Paul+McEvoy&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/Global_Brain.html?hl=&id=V_IgAQAAIAAJ'}","{'country': 'US', 'saleability': 'NOT_FOR_SALE', 'isEbook': False}","{'country': 'US', 'viewability': 'NO_PAGES', 'embeddable': False, 'publicDomain': False, 'textToSpeechPermission': 'ALLOWED', 'epub': {'isAvailable': False}, 'pdf': {'isAvailable': False}, 'webReaderLink': 'http://play.google.com/books/reader?id=V_IgAQAAIAAJ&hl=&printsec=frontcover&source=gbs_api', 'accessViewStatus': 'NONE', 'quoteSharingAllowed': False}","{'textSnippet': 'These are theories as important as they are radical. Informed by twenty years of interdisciplinary research, Bloom takes us on a spellbinding journey back to the big bang to let us see how its fires forged primordial sociality.'}"
7,books#volume,LalsQgAACAAJ,5bDCRbOSRj4,https://www.googleapis.com/books/v1/volumes/LalsQgAACAAJ,"{'title': 'An Introduction to Semiconductor Microtechnology', 'authors': ['D. V. Morgan', 'K. Board'], 'publisher': 'John Wiley & Sons', 'publishedDate': '1983-01-01', 'description': 'This introduction to semiconductor microtechnology covers the structure & manufacture of semiconductor devices. The Second Edition has been updated to reflect advances in the design & fabrication of semiconductor devices. Provides background material on semiconductor microtechnology & describes the properties of semiconductor materials & each step of the manufacturing process. Includes more photographs & larger diagrams; also provides instructional objectives & self-evaluation questions at the beginning of each chapter & problems at the end.', 'industryIdentifiers': [{'type': 'ISBN_10', 'identifier': '0471901482'}, {'type': 'ISBN_13', 'identifier': '9780471901488'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 167, 'printType': 'BOOK', 'categories': ['Microelectronics'], 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': 'preview-1.0.0', 'language': 'en', 'previewLink': 'http://books.google.com/books?id=LalsQgAACAAJ&dq=%2Binauthor:Paul+McEvoy&hl=&cd=8&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=LalsQgAACAAJ&dq=%2Binauthor:Paul+McEvoy&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/An_Introduction_to_Semiconductor_Microte.html?hl=&id=LalsQgAACAAJ'}","{'country': 'US', 'saleability': 'NOT_FOR_SALE', 'isEbook': False}","{'country': 'US', 'viewability': 'NO_PAGES', 'embeddable': False, 'publicDomain': False, 'textToSpeechPermission': 'ALLOWED', 'epub': {'isAvailable': False}, 'pdf': {'isAvailable': False}, 'webReaderLink': 'http://play.google.com/books/reader?id=LalsQgAACAAJ&hl=&printsec=frontcover&source=gbs_api', 'accessViewStatus': 'NONE', 'quoteSharingAllowed': False}",{'textSnippet': 'This introduction to semiconductor microtechnology covers the structure &amp; manufacture of semiconductor devices. The Second Edition has been updated to reflect advances in the design &amp; fabrication of semiconductor devices.'}
8,books#volume,yefLAQAACAAJ,yx5Za9fsKJ4,https://www.googleapis.com/books/v1/volumes/yefLAQAACAAJ,"{'title': 'The Fulton Chain', 'subtitle': 'Earlly Settlement, Roads, Steamboats, Railroads and Hotels', 'authors': ['Charles E. Herr'], 'publishedDate': '2017-05-05', 'description': ""Using his Weekly Adirondack articles as a blueprint, Charles Herr presents the first general history of the Fulton Chain region in almost seventy years. Readers will learn about the beginnings of Old Forge and Inlet, Benjamin Harrison's visits, construction of the Fulton Chain Railroad and Raquette Lake Railway lines, the steamboats, mail boats and pickle boats, as well as the first major hotels of Inlet and Old Forge. Also covered is early town politics and the building of roads."", 'industryIdentifiers': [{'type': 'ISBN_10', 'identifier': '0692745300'}, {'type': 'ISBN_13', 'identifier': '9780692745304'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 328, 'printType': 'BOOK', 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': 'preview-1.0.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=yefLAQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=yefLAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=yefLAQAACAAJ&dq=%2Binauthor:Paul+McEvoy&hl=&cd=9&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=yefLAQAACAAJ&dq=%2Binauthor:Paul+McEvoy&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/The_Fulton_Chain.html?hl=&id=yefLAQAACAAJ'}","{'country': 'US', 'saleability': 'NOT_FOR_SALE', 'isEbook': False}","{'country': 'US', 'viewability': 'NO_PAGES', 'embeddable': False, 'publicDomain': False, 'textToSpeechPermission': 'ALLOWED', 'epub': {'isAvailable': False}, 'pdf': {'isAvailable': False}, 'webReaderLink': 'http://play.google.com/books/reader?id=yefLAQAACAAJ&hl=&printsec=frontcover&source=gbs_api', 'accessViewStatus': 'NONE', 'quoteSharingAllowed': False}","{'textSnippet': 'Using his Weekly Adirondack articles as a blueprint, Charles Herr presents the first general history of the Fulton Chain region in almost seventy years.'}"
9,books#volume,g2qdngEACAAJ,tC2MC6ZqL6E,https://www.googleapis.com/books/v1/volumes/g2qdngEACAAJ,"{'title': 'The Pumkin Shell', 'authors': ['Estelle Thomson'], 'publisher': 'Literary Licensing, LLC', 'publishedDate': '2012-04-01', 'industryIdentifiers': [{'type': 'ISBN_10', 'identifier': '1258288141'}, {'type': 'ISBN_13', 'identifier': '9781258288143'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 156, 'printType': 'BOOK', 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': 'preview-1.0.0', 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=g2qdngEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=g2qdngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=g2qdngEACAAJ&dq=%2Binauthor:Paul+McEvoy&hl=&cd=10&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=g2qdngEACAAJ&dq=%2Binauthor:Paul+McEvoy&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/The_Pumkin_Shell.html?hl=&id=g2qdngEACAAJ'}","{'country': 'US', 'saleability': 'NOT_FOR_SALE', 'isEbook': False}","{'country': 'US', 'viewability': 'NO_PAGES', 'embeddable': False, 'publicDomain': False, 'textToSpeechPermission': 'ALLOWED', 'epub': {'isAvailable': False}, 'pdf': {'isAvailable': False}, 'webReaderLink': 'http://play.google.com/books/reader?id=g2qdngEACAAJ&hl=&printsec=frontcover&source=gbs_api', 'accessViewStatus': 'NONE', 'quoteSharingAllowed': False}",
