,Unnamed: 0,bestsellers,first_name,full_name,image,last_name,on_tour,spotlight,occupation,birthday,date_of_death
0,0,True,James,James Dashner,https://images.randomhouse.com/author/94527,Dashner,False,"James Dashner is the author of the #1 <i>New York Times</i> bestselling Maze Runner series: <i>The Maze Runner</i>, <i>The Scorch Trials</i>, <i>The Death Cure</i>, <i>The Kill Order</i> and <i>The Fever Code</i>, as well as the bestselling Mortality Doctrine series: <i>The Eye of Minds</i>,<i> The Rule of Thoughts, </i>and <i>The Game of Lives</i>.   Dashner was born and raised in  Georgia, but now lives and writes in  the  Rocky Mountains. To learn more  about him and his books, visit   JamesDashner.com, follow  @jamesdashner on Twitter, and find  dashnerjames  on Instagram.",Philosopher,1842-01-11 00:00:00,1910-08-26 00:00:00
1,1,True,William T.,William T. Vollmann,https://images.randomhouse.com/author/32133,Vollmann,False,<b>William T. Vollmann</b> has won the Whiting Foundation Award and the Shiva Naipaul Memorial Award for his fiction.,Poet,1757-11-28 00:00:00,1827-08-12 00:00:00
2,2,True,Colson,Colson Whitehead,https://images.randomhouse.com/author/33050,Whitehead,False,"Colson Whitehead is the #1<i> New York Times</i> bestselling author of <i>The Underground Railroad</i>, which in 2016 won the Pulitzer Prize in Fiction and the National Book Award and was named one of the Ten Best Books of the Year by <i>The New York Times Book Review</i>, as well as <i>The Noble Hustle</i>, <i>Zone One</i>, <i>Sag Harbor</i>, <i>The Intuitionist</i>, <i>John Henry Days</i>, <i>Apex Hides the Hurt</i>, and <i>The Colossus of New York</i>. He is also a Pulitzer Prize finalist and a recipient of the MacArthur and Guggenheim Fellowships. He lives in New York City.<br><br>Colson Whitehead is available for select speakingengagements. To inquire about a possible appearance,please contact Penguin Random House Speakers Bureauat speakers@ penguinrandomhouse.com or visitwww.prhspeakers.com.",,,
3,3,True,Alice,Alice Waters,https://images.randomhouse.com/author/75571,Waters,False,"Alice Waters was born on April, 28, 1944, in Chatham, New Jersey. She graduated from the University of California at Berkeley in 1967 with a degree in French cultural studies before training at the International Montessori School in London. Her daughter, Fanny, was born in 1983.<br><br>Chez Panisse Restaurant opened in 1971, serving a single fixed-price menu that changed daily. The set menu format remains at the heart of Alice&#8217;s&#8217; philosophy of serving the most delicious organic products only when they are in season. Over the course of three decades, Chez Panisse has developed a network of local farmers and ranchers whose dedication to sustainable agriculture assures Chez Panisse a steady supply of pure and fresh ingredients.<br><br>In 1996, in celebration of the restaurant&#8217;s twenty-fifth anniversary, Alice created the Chez Panisse Foundation. The Edible Schoolyard at Berkeley&#8217;s Martin Luther King Jr Middle School is the foundation&#8217;s primary beneficiary. More information is available on the foundation's website, www.chezpanissefoundation.org",,,
4,4,True,Jonathan,Jonathan Raban,https://images.randomhouse.com/author/24766,Raban,False,"<b>Jonathan Raban</b>&nbsp;is the author of the novels&nbsp;<i>Surveillance</i>&nbsp;and&nbsp;<i>Waxwings;&nbsp;</i>his nonfiction works include&nbsp;<i>Passage to Juneau</i>,&nbsp;<i>Bad Land, </i>and <i>Driving Home: An American Journey.</i>&nbsp;His honors include the National Book Critics Circle Award, the PEN/West Creative Nonfiction Award, the Pacific Northwest Booksellers&rsquo; Award, and the Governor&rsquo;s Award of the State of Washington. He lives in Seattle.",Novelist,1977-02-21 00:00:00,
5,5,True,Jane,Jane Smiley,https://images.randomhouse.com/author/28760,Smiley,False,"JANE SMILEY is the author of numerous novels, including&#160;<i>A Thousand Acres,</i>&#160;which was awarded the Pulitzer Prize, and most recently, The Last Hundred Years Trilogy:&#160;<i>Some Luck, Early Warning,</i>&#160;and&#160;<i>Golden Age.</i>&#160;She is also the author of several works of nonfiction and books for young adults. A member of the American Academy of Arts and Letters, she has also received the PEN Center USA Lifetime Achievement Award for Literature. She lives in Northern California.",Author,1775-12-16 00:00:00,1817-07-18 00:00:00
6,6,True,Rebecca,Rebecca Solnit,https://images.randomhouse.com/author/29071,Solnit,False,"Rebecca Solnit is the author of more than twenty books, including the memoir&#160;<i>Recollections of My Nonexistence </i>and the nonfiction&#160;<i>A Field Guide to Getting Lost</i>,&#160;<i>The Faraway Nearby</i>,&#160;<i>A</i>&#160;<i>Paradise Built in Hell</i>,&#160;<i>River of Shadows</i>, and&#160;<i>Wanderlust</i>. She is also the author of&#160;<i>Men Explain Things to Me</i>&#160;and many essays on feminism, activism and social change, hope, and the climate crisis. A product of the California public education system from kindergarten to graduate school, she is a regular contributor to&#160;<i>The Guardian</i>&#160;and other publications.",,,
7,7,True,J.B.,J.B. Cheaney,https://images.randomhouse.com/author/4748,Cheaney,False,<b>J. B. Cheaney&rsquo;s&#160;</b><i>The Playmaker&#160;</i>was named one of&#160;<i>Booklist</i>&rsquo;s Top Ten First Novels for Teens. She and her husband live in the Ozarks of Missouri.,NBA forward/guard (Washington Bullets/Wizards),1971-07-17 00:00:00,
8,8,True,Hilary Thayer,Hilary Thayer Hamann,https://images.randomhouse.com/author/85408,Hamann,False,"<b>Hilary Thayer Hamann</b> was born and raised in New York. After her parents divorced, she was shuttled between their respective homes in the Hamptons and the Bronx. She attended New York University, where she received a BFA in film and television production and dramatic writing from the Tisch School of the Arts, an MA in cinema studies from the Graduate School of Arts and Science, and a Certificate in Anthropological Filmmaking from NYU&rsquo;s Center for Media, Culture, and History.&nbsp;
 &nbsp;
 Ms. Hamann edited and contributed to&nbsp;<i>Categories&mdash;On The Beauty of Physics</i>&nbsp;(2006), an interdisciplinary educational book that was included in Louisiana State University&rsquo;s list of top 25 nonfiction books written since 1950.&nbsp;
 &nbsp;
 As the assistant to Jacques d'Amboise, founder and artistic director of the National Dance Institute, Ms. Hamann produced&nbsp;<i>We Real Cool</i>, a short film based on the Gwendolyn Brooks poem, directed by Academy Award&ndash;winning director Emile Ardolino. She also coordinated an international exchange with students from America and the then&ndash;Soviet Union based on literature, music, and art. She has worked in New York's film, publishing, and entertainment industries, and is the codirector of&nbsp;<i>Films on the Haywall</i>, a classic film series in Bridgehampton, New York.

Ms. Hamann is the author of the novel <i>Anthropology of an American Girl</i>.&nbsp;She lives in Manhattan and on Long Island.",,,
9,9,True,Natsuo,Natsuo Kirino,https://images.randomhouse.com/author/59249,Kirino,False,"<b>Natsuo Kirino</b>, born in 1951, quickly established a reputation in her country as one of a rare breed of mystery writers whose work goes well beyond the conventional crime novel. This fact has been demonstrated by her winning not only the Grand Prix for Crime Fiction in Japan for <i>Out </i>in 1998, but one of its major literary awards--the Naoki Prize--for <i>Soft Cheeks </i>(which has not yet been published in English), in 1999. Several of her books have also been turned into feature movies. <i>Out </i>was the first of her novels to appear in English and was nominated for an Edgar Award.",,,
