,author,language,length,link,quote,tags
0,James Dashner,en,141,https://theysaidso.com/quote/james-dashner-i-felt-her-absence-it-was-like-waking-up-one-day-with-no-teeth-in,I felt her absence. It was like waking up one day with no teeth in your mouth. You wouldn't need to run to the mirror to know they were gone,"{absence, alone, breakup, broken, day, felt, forgive, gone, her, i, i-love-you, in, it, know, like, loneliness, lonely, mirror, miss, mouth, need, no, one, run, sad, separated, sorry, teeth, the, they, to, up, waking, want, was, were, with, wouldn-t, you, your}"
1,William T. Vollmann,en,253,https://theysaidso.com/quote/william-t-vollmann-but-as-i-have-said-the-bugs-had-no-interest-in-getting-usand,"But, as I have said, the bugs had no interest in getting usand no great curiosity or enthusiasm about us as such; from the cowardly cockroaches to the blind stolid ants they wanted only to be left alone to eat and breed and eat and breed, just like us.","{human-nature, perspective}"
2,Colson Whitehead,en,277,https://theysaidso.com/quote/colson-whitehead-i-cant-blame-modern-technology-for-my-predilection-for-distract,"I can't blame modern technology for my predilection for distraction, not after all the hours I've spent watching lost balloons disappear into the clouds. I did it before the Internet, and I'll do it after the apocalypse, assuming we still have helium and weak-gripped children.","{distraction, internet, technology, writing}"
3,Alice Waters,en,126,https://theysaidso.com/quote/alice-waters-im-always-going-back-to-elizabeth-david-i-continue-to-be-a-fan-i-ca,I'm always going back to Elizabeth David. I continue to be a fan. I can read and reread and find something important in there.,{}
4,Jonathan Raban,en,184,https://theysaidso.com/quote/jonathan-raban-books-admitted-me-to-their-world-open-handedly-as-people-for-thei,"?Books admitted me to their world open-handedly, as people for their most part, did not. The life I lived in books was one of ease and freedom, worldly wisdom, glitter, dash and style.",{books}
5,Jane Smiley,en,252,https://theysaidso.com/quote/jane-smiley-i-had-been-with-my-father-so-constantly-for-so-long-that-i-knew-less,..I had been with my father so constantly for so long that I knew less and less about him with every passing year. Every meaningful image was jumbled together with the countless moments of our daily life defeating my efforts to gain some perspective.,"{memory, perspective}"
6,Rebecca Solnit,en,984,https://theysaidso.com/quote/rebecca-solnit-one-project-of-teddy-cruzs-is-titled-living-rooms-at-the-border-i,"One {project of Teddy Cruz's} is titled Living Rooms at the Border. It takes a piece of land with an unused church zoned for three units and carefully arrays on it twelve affordable housing units, a community center (the converted church), offices for Casa in the church's attic, and a garden that can accommodate street markets and kiosks. 'In a place where current regulation allows only one use,' {Cruz} crows, ' we propose five different uses that support each other. This suggests a model of social sustainability for San Diego, one that conveys density not as bulk but as social choreography.' For both architect and patron, it's an exciting opportunity to prove that breaking the zoning codes can be for the best. Another one of Cruz's core beliefs is that if architects are going to achieve anything of social distinction, they will have to become developers' collaborators or developers themselves, rather than hirelings brought in after a project's parameters are laid out.","{architecture, planning}"
7,J.B. Cheaney,en,208,https://theysaidso.com/quote/jb-cheaney-some-part-of-me-knew-that-i-could-play-this-part-well-or-better-than,"Some part of me knew that I could play this part well, or better than well. But I was almost afraid to play it. The line between stage and life was so fragile here that I felt a risk of losing myself somehow.",{art}
8,Hilary Thayer Hamann,en,435,https://theysaidso.com/quote/hilary-thayer-hamann-and-loneliness-i-should-say-something-of-loneliness-the-pan,"And loneliness. I should say something of loneliness. The panic, the sweeping hysteria that comes not when you are without others, but when you are without yourself, adrift. I should describe the filthy province of mind, the blighted district inside, the place so crowded you cannot raise the lids of your eyes. Your shoulders are drawn and your head has fallen and your chest is bruised by the constant assault of your heart. (p. 37)","{hamann, loneliness}"
9,Natsuo Kirino,en,66,https://theysaidso.com/quote/natsuo-kirino-if-people-cant-stand-being-alone-they-have-no-choice-but-to-die,"If people can't stand being alone, they have no choice but to die","{life, sad, thought-provoking}"
